image,title,price,brand
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/32-101-010-V01.jpg,Star Wars: Jedi Fallen Order Xbox One [Digital Code],9,ASUS
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/12-119-919-V01.jpg,"Rosewill Compressed Air Duster, 10 oz Gas Duster Cleaning Spray for Electronics (3-Pack) RCGD-18003",69,Team Group
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/11-146-315-V01.jpg,NZXT H510 - Compact ATX Mid-Tower PC Gaming Case - Front I/O USB Type-C Port - Tempered Glass Side Panel - Cable Management System - Water-Cooling Ready - Steel Construction - Black,48,EVGA
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/26-153-250-V02.jpg,Razer Basilisk - Multi-color Ergonomic Gaming Mouse - RZ01-02330100-R3U1,144,Rosewill
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-117-981-V01.jpg,Intel Core i5-9400F Coffee Lake 6-Core 2.9 GHz (4.1 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I59400F Desktop Processor Without Graphics,104,Rosewill
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-232-859-V01.jpg,G.SKILL Trident Z Neo (For AMD Ryzen) Series 16GB (2 x 8GB) 288-Pin RGB DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C16D-16GTZNC,22,Logitech
https://c1.neweggimages.com/ProductImageCompressAll300/1W8-006A-00003-03.jpg,Asus Black SATA 24X DVDRW E-Green No Logo  Model DRW-24F1ST/BLK/B/GEN - OEM,6,Rosewill
https://c1.neweggimages.com/ProductImageCompressAll300/20-313-310-09.jpg,"Team 64GB microSDXC UHS-I/U1 Class 10 Memory Card with Adapter, Speed Up to 80MB/s (TUSDX64GUHS03)",349,HP
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/14-487-442-V06.jpg,"EVGA GeForce RTX 2060 SC Ultra GAMING, 06G-P4-2067-KR, 6GB GDDR6, Dual HDB Fans",69,Patriot Memory
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/11-147-292-V10.jpg,"Rosewill ATX Mid Tower Gaming PC Computer Case with Dual Ring RGB LED Fans, 360mm Water Cooling Radiator Support, Tempered Glass and Steel, USB 3.0 - CULLINAN V500 RGB",59,Mushkin Enhanced
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/17-182-341-V01.jpg,Rosewill Glacier Series 700W Semi-Modular Gaming Power Supply - Glacier 700M,79,Team Group
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/1JZ-01EC-00001-Z01.jpg,Logitech G903 LIGHTSPEED Gaming Mouse with POWERPLAY Wireless Charging Compatibility,14,AMD
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/15-166-038-01.jpg,"Rosewill RC-508 USB 3.0 PCI-E Express Card with 4 USB 3.0 Ports, Speed Up to 5.0 Gbps",109,EVGA
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A0ZX_1_20190830237329464.jpg,"HP P244 24"" (Actual size 23.8"") Full HD 1920 x 1080 60Hz 5ms VGA DisplyPort HDMI IPS Backlit LED LCD Monitor",27,ABS
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-225-082-Z01.jpg,"Patriot Burst 2.5"" 240GB SATA III Internal Solid State Drive (SSD) PBU240GS25SSDR",29,MSI
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-226-881-Z01.jpg,"Mushkin Enhanced Source 2.5"" 250GB SATA III 3D TLC Internal Solid State Drive (SSD) MKNSSDSR250GB",6,CyberpowerPC
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-331-262-S02.jpg,Team Group 64GB C186 USB 3.1 Flash Drive (TC186364GB01),239,Crucial
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/19-113-568-V03.jpg,AMD RYZEN 5 3600X 6-Core 3.8 GHz (4.4 GHz Max Boost) Socket AM4 95W 100-100000022BOX Desktop Processor,64,EVGA
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/17-438-157-V01.jpg,EVGA 600 GD 100-GD-0600-V1 600W Power Supply,899,EVGA
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/83-102-830-S10.jpg,ABS Mage M - Ryzen 5 3600 - Radeon RX 5700 XT - 16GB DDR4 3000MHz - 512GB SSD - Gaming Desktop PC,139,ASUS
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/13-144-188-V01.jpg,MSI PERFORMANCE GAMING B450 GAMING PRO CARBON AC AM4 ATX AMD Motherboard,479,Acer America
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/83-230-493-01.jpg,CYBERPOWERPC Gamer Force ET9958 - Gaming Desktop PC - AMD Ryzen 5 1400 (4-Core 3.4 GHz) AMD Radeon RX 570 (4 GB) 8 GB DDR4 480 GB SSD Windows 10 Home 64-bit,54,Team Group
https://c1.neweggimages.com/ProductImageCompressAll300/20-148-614-02.jpg,Crucial 16GB (2 x 8GB) 204-Pin DDR3 SO-DIMM DDR3L 1600 (PC3L 12800) Laptop Memory Model CT2KIT102464BF160B,49,Wavlink
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/17-438-158-V01.jpg,EVGA 500 GD 100-GD-0500-V1 500W Power Supply,129,Rosewill
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/17-438-133-V01.jpg,"EVGA SuperNOVA 850 G+, 80 Plus Gold 850W, Fully Modular, FDB Fan, 10 Year Warranty, Includes Power ON Self Tester, Power Supply 120-GP-0850-X1",479,ASUS
https://c1.neweggimages.com/ProductImageCompressAll300/24-236-660-V01.jpg,"ASUS ROG Swift PG279Q Black 27"" 165Hz 2560x1440 2K 4ms NVDIA G-SYNC, 350cd/m2, 1000:1, DP, HDMI,  IPS Built-in Speakers, Tilt, Swivel, Pivot, Height Adjustable, VESA mount",209,Phanteks Company
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/0JC-000P-007P5-V08.jpg,"Acer ET322QU 32"" WQHD 2560x1440 2K Resolution 75Hz 4ms VGA HDMI DisplayPort AMD Radeon FreeSync Built-in Speakers Backlit LED IPS Monitor",27,Western Digital
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/20-331-230-V01.jpg,Team Group MS30 M.2 2280 256GB SATA III TLC Internal Solid State Drive (SSD) TM8PS7256G0C101,7,ASRock
https://c1.neweggimages.com/ProductImageCompressAll300/A6PF_132121527386866949lgddOQO8GA.jpg,[USB 3.0 & Tool-free ] Wavlink USB 3.0 HDD SATA External Hard Drive Disk Enclosure Case Support UASP & SATA I/II/III LED Indicator for 7 & 9.5mm 2.5 Inch SATA HDD and SSD,19,EVGA
https://c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/24-992-211-V03.jpg,"Rosewill Dual Monitor Stand and Laptop Desk Mount combo with Gas Spring Arms, Full-Motion Height Adjustment and Clamp Mounting for 1 laptop 9.5""-15.6"" & 1 Monitor 10""-27""",189,Rosewill
